In epoch 0, loss: 8.189, train acc: 0.174, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 5, loss: 2.342, train acc: 0.174, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 10, loss: 2.155, train acc: 0.174, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 15, loss: 1.880, train acc: 0.159, val acc: 0.227 (best 0.273), test acc: 0.315 (best 0.249)
In epoch 20, loss: 1.814, train acc: 0.159, val acc: 0.227 (best 0.273), test acc: 0.315 (best 0.249)
In epoch 25, loss: 1.784, train acc: 0.175, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 30, loss: 1.773, train acc: 0.274, val acc: 0.048 (best 0.273), test acc: 0.035 (best 0.249)
In epoch 35, loss: 1.773, train acc: 0.274, val acc: 0.048 (best 0.273), test acc: 0.035 (best 0.249)
In epoch 40, loss: 1.770, train acc: 0.166, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 45, loss: 1.768, train acc: 0.187, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 50, loss: 1.767, train acc: 0.175, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 55, loss: 1.766, train acc: 0.168, val acc: 0.273 (best 0.273), test acc: 0.249 (best 0.249)
In epoch 60, loss: 1.766, train acc: 0.186, val acc: 0.271 (best 0.273), test acc: 0.252 (best 0.249)
In epoch 65, loss: 1.765, train acc: 0.180, val acc: 0.273 (best 0.273), test acc: 0.252 (best 0.249)
In epoch 70, loss: 1.765, train acc: 0.357, val acc: 0.282 (best 0.282), test acc: 0.254 (best 0.254)
In epoch 75, loss: 1.765, train acc: 0.173, val acc: 0.273 (best 0.282), test acc: 0.252 (best 0.254)
In epoch 80, loss: 1.764, train acc: 0.350, val acc: 0.248 (best 0.288), test acc: 0.240 (best 0.258)
In epoch 85, loss: 1.764, train acc: 0.219, val acc: 0.273 (best 0.288), test acc: 0.252 (best 0.258)
In epoch 90, loss: 1.764, train acc: 0.373, val acc: 0.288 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 95, loss: 1.764, train acc: 0.308, val acc: 0.278 (best 0.288), test acc: 0.252 (best 0.258)
In epoch 100, loss: 1.763, train acc: 0.325, val acc: 0.281 (best 0.288), test acc: 0.254 (best 0.258)
In epoch 105, loss: 1.763, train acc: 0.291, val acc: 0.144 (best 0.288), test acc: 0.154 (best 0.258)
In epoch 110, loss: 1.763, train acc: 0.400, val acc: 0.270 (best 0.288), test acc: 0.248 (best 0.258)
In epoch 115, loss: 1.763, train acc: 0.373, val acc: 0.276 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 120, loss: 1.762, train acc: 0.373, val acc: 0.287 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 125, loss: 1.762, train acc: 0.353, val acc: 0.281 (best 0.288), test acc: 0.254 (best 0.258)
In epoch 130, loss: 1.762, train acc: 0.368, val acc: 0.287 (best 0.288), test acc: 0.255 (best 0.258)
In epoch 135, loss: 1.761, train acc: 0.372, val acc: 0.281 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 140, loss: 1.761, train acc: 0.372, val acc: 0.281 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 145, loss: 1.761, train acc: 0.372, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 150, loss: 1.761, train acc: 0.372, val acc: 0.287 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 155, loss: 1.760, train acc: 0.372, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 160, loss: 1.760, train acc: 0.373, val acc: 0.279 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 165, loss: 1.760, train acc: 0.372, val acc: 0.279 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 170, loss: 1.759, train acc: 0.372, val acc: 0.279 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 175, loss: 1.759, train acc: 0.372, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 180, loss: 1.759, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 185, loss: 1.759, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 190, loss: 1.758, train acc: 0.372, val acc: 0.279 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 195, loss: 1.758, train acc: 0.374, val acc: 0.282 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 200, loss: 1.758, train acc: 0.372, val acc: 0.278 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 205, loss: 1.757, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 210, loss: 1.757, train acc: 0.372, val acc: 0.278 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 215, loss: 1.757, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 220, loss: 1.757, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 225, loss: 1.756, train acc: 0.374, val acc: 0.288 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 230, loss: 1.756, train acc: 0.354, val acc: 0.255 (best 0.288), test acc: 0.245 (best 0.258)
In epoch 235, loss: 1.756, train acc: 0.372, val acc: 0.287 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 240, loss: 1.755, train acc: 0.361, val acc: 0.259 (best 0.288), test acc: 0.249 (best 0.258)
In epoch 245, loss: 1.755, train acc: 0.367, val acc: 0.275 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 250, loss: 1.755, train acc: 0.374, val acc: 0.282 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 255, loss: 1.754, train acc: 0.365, val acc: 0.275 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 260, loss: 1.754, train acc: 0.367, val acc: 0.275 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 265, loss: 1.754, train acc: 0.370, val acc: 0.278 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 270, loss: 1.753, train acc: 0.369, val acc: 0.275 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 275, loss: 1.753, train acc: 0.364, val acc: 0.271 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 280, loss: 1.753, train acc: 0.364, val acc: 0.273 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 285, loss: 1.753, train acc: 0.367, val acc: 0.275 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 290, loss: 1.752, train acc: 0.371, val acc: 0.278 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 295, loss: 1.752, train acc: 0.368, val acc: 0.275 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 300, loss: 1.752, train acc: 0.364, val acc: 0.271 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 305, loss: 1.751, train acc: 0.364, val acc: 0.270 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 310, loss: 1.751, train acc: 0.364, val acc: 0.270 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 315, loss: 1.750, train acc: 0.364, val acc: 0.271 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 320, loss: 1.750, train acc: 0.354, val acc: 0.255 (best 0.288), test acc: 0.248 (best 0.258)
In epoch 325, loss: 1.750, train acc: 0.355, val acc: 0.255 (best 0.288), test acc: 0.248 (best 0.258)
In epoch 330, loss: 1.749, train acc: 0.360, val acc: 0.262 (best 0.288), test acc: 0.251 (best 0.258)
In epoch 335, loss: 1.749, train acc: 0.359, val acc: 0.262 (best 0.288), test acc: 0.252 (best 0.258)
In epoch 340, loss: 1.749, train acc: 0.364, val acc: 0.270 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 345, loss: 1.749, train acc: 0.361, val acc: 0.284 (best 0.288), test acc: 0.254 (best 0.258)
In epoch 350, loss: 1.749, train acc: 0.369, val acc: 0.287 (best 0.288), test acc: 0.255 (best 0.258)
In epoch 355, loss: 1.748, train acc: 0.373, val acc: 0.287 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 360, loss: 1.748, train acc: 0.373, val acc: 0.282 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 365, loss: 1.747, train acc: 0.375, val acc: 0.279 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 370, loss: 1.747, train acc: 0.374, val acc: 0.282 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 375, loss: 1.746, train acc: 0.359, val acc: 0.256 (best 0.288), test acc: 0.249 (best 0.258)
In epoch 380, loss: 1.746, train acc: 0.359, val acc: 0.256 (best 0.288), test acc: 0.249 (best 0.258)
In epoch 385, loss: 1.746, train acc: 0.360, val acc: 0.262 (best 0.288), test acc: 0.252 (best 0.258)
In epoch 390, loss: 1.745, train acc: 0.364, val acc: 0.270 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 395, loss: 1.745, train acc: 0.373, val acc: 0.285 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 400, loss: 1.746, train acc: 0.309, val acc: 0.156 (best 0.288), test acc: 0.109 (best 0.258)
In epoch 405, loss: 1.745, train acc: 0.322, val acc: 0.183 (best 0.288), test acc: 0.144 (best 0.258)
In epoch 410, loss: 1.744, train acc: 0.374, val acc: 0.281 (best 0.288), test acc: 0.261 (best 0.258)
In epoch 415, loss: 1.744, train acc: 0.374, val acc: 0.288 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 420, loss: 1.743, train acc: 0.358, val acc: 0.245 (best 0.288), test acc: 0.242 (best 0.258)
In epoch 425, loss: 1.743, train acc: 0.356, val acc: 0.247 (best 0.288), test acc: 0.243 (best 0.258)
In epoch 430, loss: 1.747, train acc: 0.301, val acc: 0.276 (best 0.288), test acc: 0.251 (best 0.258)
In epoch 435, loss: 1.750, train acc: 0.277, val acc: 0.069 (best 0.288), test acc: 0.083 (best 0.258)
In epoch 440, loss: 1.742, train acc: 0.360, val acc: 0.262 (best 0.288), test acc: 0.255 (best 0.258)
In epoch 445, loss: 1.744, train acc: 0.359, val acc: 0.282 (best 0.288), test acc: 0.254 (best 0.258)
In epoch 450, loss: 1.741, train acc: 0.373, val acc: 0.284 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 455, loss: 1.742, train acc: 0.292, val acc: 0.147 (best 0.288), test acc: 0.133 (best 0.258)
In epoch 460, loss: 1.740, train acc: 0.354, val acc: 0.253 (best 0.288), test acc: 0.243 (best 0.258)
In epoch 465, loss: 1.741, train acc: 0.369, val acc: 0.287 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 470, loss: 1.741, train acc: 0.288, val acc: 0.135 (best 0.288), test acc: 0.115 (best 0.258)
In epoch 475, loss: 1.739, train acc: 0.373, val acc: 0.284 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 480, loss: 1.739, train acc: 0.363, val acc: 0.267 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 485, loss: 1.738, train acc: 0.342, val acc: 0.222 (best 0.288), test acc: 0.228 (best 0.258)
In epoch 490, loss: 1.800, train acc: 0.274, val acc: 0.048 (best 0.288), test acc: 0.035 (best 0.258)
In epoch 495, loss: 1.787, train acc: 0.123, val acc: 0.187 (best 0.288), test acc: 0.203 (best 0.258)
In epoch 500, loss: 1.775, train acc: 0.167, val acc: 0.273 (best 0.288), test acc: 0.249 (best 0.258)
In epoch 505, loss: 1.771, train acc: 0.178, val acc: 0.230 (best 0.288), test acc: 0.317 (best 0.258)
In epoch 510, loss: 1.756, train acc: 0.286, val acc: 0.124 (best 0.288), test acc: 0.096 (best 0.258)
In epoch 515, loss: 1.771, train acc: 0.349, val acc: 0.242 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 520, loss: 1.742, train acc: 0.320, val acc: 0.238 (best 0.288), test acc: 0.323 (best 0.258)
In epoch 525, loss: 1.760, train acc: 0.171, val acc: 0.273 (best 0.288), test acc: 0.249 (best 0.258)
In epoch 530, loss: 1.742, train acc: 0.273, val acc: 0.270 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 535, loss: 1.741, train acc: 0.329, val acc: 0.241 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 540, loss: 1.742, train acc: 0.370, val acc: 0.236 (best 0.288), test acc: 0.291 (best 0.258)
In epoch 545, loss: 1.741, train acc: 0.336, val acc: 0.241 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 550, loss: 1.740, train acc: 0.338, val acc: 0.241 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 555, loss: 1.739, train acc: 0.369, val acc: 0.265 (best 0.288), test acc: 0.320 (best 0.258)
In epoch 560, loss: 1.742, train acc: 0.366, val acc: 0.241 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 565, loss: 1.738, train acc: 0.365, val acc: 0.239 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 570, loss: 1.737, train acc: 0.352, val acc: 0.275 (best 0.288), test acc: 0.289 (best 0.258)
In epoch 575, loss: 1.736, train acc: 0.308, val acc: 0.287 (best 0.288), test acc: 0.291 (best 0.258)
In epoch 580, loss: 1.736, train acc: 0.313, val acc: 0.267 (best 0.288), test acc: 0.261 (best 0.258)
In epoch 585, loss: 1.736, train acc: 0.319, val acc: 0.267 (best 0.288), test acc: 0.255 (best 0.258)
In epoch 590, loss: 1.736, train acc: 0.306, val acc: 0.273 (best 0.288), test acc: 0.257 (best 0.258)
In epoch 595, loss: 1.735, train acc: 0.311, val acc: 0.271 (best 0.288), test acc: 0.255 (best 0.258)
In epoch 600, loss: 1.735, train acc: 0.324, val acc: 0.271 (best 0.288), test acc: 0.261 (best 0.258)
In epoch 605, loss: 1.735, train acc: 0.370, val acc: 0.242 (best 0.288), test acc: 0.320 (best 0.258)
In epoch 610, loss: 1.734, train acc: 0.369, val acc: 0.258 (best 0.288), test acc: 0.315 (best 0.258)
In epoch 615, loss: 1.733, train acc: 0.367, val acc: 0.271 (best 0.288), test acc: 0.294 (best 0.258)
In epoch 620, loss: 1.733, train acc: 0.351, val acc: 0.285 (best 0.288), test acc: 0.287 (best 0.258)
In epoch 625, loss: 1.733, train acc: 0.342, val acc: 0.268 (best 0.288), test acc: 0.258 (best 0.258)
In epoch 630, loss: 1.732, train acc: 0.345, val acc: 0.268 (best 0.288), test acc: 0.260 (best 0.258)
In epoch 635, loss: 1.732, train acc: 0.362, val acc: 0.285 (best 0.288), test acc: 0.295 (best 0.258)
In epoch 640, loss: 1.731, train acc: 0.365, val acc: 0.291 (best 0.291), test acc: 0.283 (best 0.283)
In epoch 645, loss: 1.742, train acc: 0.263, val acc: 0.276 (best 0.291), test acc: 0.251 (best 0.283)
In epoch 650, loss: 1.740, train acc: 0.350, val acc: 0.196 (best 0.291), test acc: 0.268 (best 0.283)
In epoch 655, loss: 1.737, train acc: 0.343, val acc: 0.187 (best 0.291), test acc: 0.251 (best 0.283)
In epoch 660, loss: 1.733, train acc: 0.359, val acc: 0.218 (best 0.291), test acc: 0.278 (best 0.283)
In epoch 665, loss: 1.731, train acc: 0.373, val acc: 0.245 (best 0.291), test acc: 0.320 (best 0.283)
In epoch 670, loss: 1.729, train acc: 0.373, val acc: 0.265 (best 0.291), test acc: 0.278 (best 0.283)
In epoch 675, loss: 1.729, train acc: 0.353, val acc: 0.273 (best 0.291), test acc: 0.261 (best 0.283)
In epoch 680, loss: 1.731, train acc: 0.336, val acc: 0.282 (best 0.291), test acc: 0.254 (best 0.283)
In epoch 685, loss: 1.730, train acc: 0.369, val acc: 0.235 (best 0.291), test acc: 0.295 (best 0.283)
In epoch 690, loss: 1.731, train acc: 0.373, val acc: 0.236 (best 0.291), test acc: 0.301 (best 0.283)
In epoch 695, loss: 1.727, train acc: 0.373, val acc: 0.284 (best 0.291), test acc: 0.283 (best 0.283)
In epoch 700, loss: 1.727, train acc: 0.359, val acc: 0.285 (best 0.291), test acc: 0.255 (best 0.283)
In epoch 705, loss: 1.726, train acc: 0.366, val acc: 0.278 (best 0.291), test acc: 0.257 (best 0.283)
In epoch 710, loss: 1.752, train acc: 0.277, val acc: 0.064 (best 0.291), test acc: 0.104 (best 0.283)
In epoch 715, loss: 1.744, train acc: 0.279, val acc: 0.084 (best 0.291), test acc: 0.084 (best 0.283)
In epoch 720, loss: 1.754, train acc: 0.298, val acc: 0.123 (best 0.291), test acc: 0.164 (best 0.283)
In epoch 725, loss: 1.744, train acc: 0.330, val acc: 0.155 (best 0.291), test acc: 0.213 (best 0.283)
In epoch 730, loss: 1.736, train acc: 0.288, val acc: 0.113 (best 0.291), test acc: 0.148 (best 0.283)
In epoch 735, loss: 1.725, train acc: 0.368, val acc: 0.278 (best 0.291), test acc: 0.272 (best 0.283)
In epoch 740, loss: 1.727, train acc: 0.349, val acc: 0.282 (best 0.291), test acc: 0.252 (best 0.283)
In epoch 745, loss: 1.726, train acc: 0.358, val acc: 0.284 (best 0.291), test acc: 0.252 (best 0.283)
In epoch 750, loss: 1.724, train acc: 0.372, val acc: 0.278 (best 0.291), test acc: 0.260 (best 0.283)
In epoch 755, loss: 1.723, train acc: 0.364, val acc: 0.268 (best 0.291), test acc: 0.261 (best 0.283)
In epoch 760, loss: 1.723, train acc: 0.372, val acc: 0.276 (best 0.291), test acc: 0.280 (best 0.283)
In epoch 765, loss: 1.723, train acc: 0.368, val acc: 0.270 (best 0.291), test acc: 0.278 (best 0.283)
In epoch 770, loss: 1.722, train acc: 0.369, val acc: 0.276 (best 0.291), test acc: 0.274 (best 0.283)
In epoch 775, loss: 1.722, train acc: 0.369, val acc: 0.271 (best 0.291), test acc: 0.269 (best 0.283)
In epoch 780, loss: 1.721, train acc: 0.368, val acc: 0.279 (best 0.291), test acc: 0.274 (best 0.283)
In epoch 785, loss: 1.721, train acc: 0.363, val acc: 0.268 (best 0.291), test acc: 0.257 (best 0.283)
In epoch 790, loss: 1.752, train acc: 0.276, val acc: 0.058 (best 0.291), test acc: 0.095 (best 0.283)
In epoch 795, loss: 1.764, train acc: 0.274, val acc: 0.048 (best 0.291), test acc: 0.035 (best 0.283)
