The result is shown here.
In epoch 0, loss: 1.946, train acc: 0.059, val acc: 0.072 (best 0.072), test acc: 0.042 (best 0.042)
In epoch 5, loss: 1.945, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 10, loss: 1.944, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 15, loss: 1.942, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 20, loss: 1.940, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 25, loss: 1.937, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 30, loss: 1.934, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 35, loss: 1.928, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 40, loss: 1.921, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 45, loss: 1.912, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 50, loss: 1.900, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 55, loss: 1.887, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 60, loss: 1.877, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 65, loss: 1.871, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 70, loss: 1.864, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 75, loss: 1.856, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 80, loss: 1.849, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 85, loss: 1.842, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 90, loss: 1.834, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 95, loss: 1.827, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 100, loss: 1.818, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
In epoch 105, loss: 1.807, train acc: 0.294, val acc: 0.311 (best 0.311), test acc: 0.317 (best 0.315)
