The result is shown here.
In epoch 0, loss: 19471.746, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 5, loss: 3347.971, train acc: 0.143, val acc: 0.156 (best 0.316), test acc: 0.144 (best 0.319)
In epoch 10, loss: 2246.362, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 15, loss: 1256.985, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 20, loss: 623.350, train acc: 0.143, val acc: 0.156 (best 0.316), test acc: 0.144 (best 0.319)
In epoch 25, loss: 447.872, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 30, loss: 396.272, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 35, loss: 318.196, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 40, loss: 404.988, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 45, loss: 218.648, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 50, loss: 204.563, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 55, loss: 261.269, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 60, loss: 129.395, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 65, loss: 436.230, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 70, loss: 246.495, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 75, loss: 122.603, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 80, loss: 310.316, train acc: 0.143, val acc: 0.072 (best 0.316), test acc: 0.091 (best 0.319)
In epoch 85, loss: 376.138, train acc: 0.143, val acc: 0.122 (best 0.316), test acc: 0.130 (best 0.319)
In epoch 90, loss: 104.481, train acc: 0.143, val acc: 0.316 (best 0.316), test acc: 0.319 (best 0.319)
In epoch 95, loss: 232.389, train acc: 0.143, val acc: 0.122 (best 0.316), test acc: 0.130 (best 0.319)
